cis_index,title,status
5.1.6 ,Ensure sshd Ciphers are configured,Fail
5.1.13 ,Ensure sshd LoginGraceTime is configured,Fail
5.1.7 ,Ensure sshd ClientAliveInterval and ClientAliveCountMax are configured,Fail
5.1.14 ,Ensure sshd LogLevel is configured,Fail
5.1.15,Ensure sshd MACs are configured,Fail
5.1.8 ,Ensure sshd DisableForwarding is enabled,Fail
5.1.16,Ensure sshd MaxAuthTries is configured,Fail
5.1.17,Ensure sshd MaxSessions is configured,Fail
5.1.18 ,Ensure sshd MaxStartups is configured,Fail
5.1.9 ,Ensure sshd GSSAPIAuthentication is disabled,Fail
5.1.10 ,Ensure sshd HostbasedAuthentication is disabled,Fail
5.1.19,Ensure sshd PermitEmptyPasswords is disabled,Fail
5.1.20,Ensure sshd PermitRootLogin is disabled,Fail
5.1.21,Ensure sshd PermitUserEnvironment is disabled,Fail
5.1.22, Ensure sshd UsePAM is enabled,Fail
7.1.1 ,Ensure permissions on /etc/passwd are configured,Fail
7.1.2,Ensure permissions on /etc/passwd- are configured,Fail
7.1.3,Ensure permissions on /etc/group are configured,Fail
7.1.4 ,Ensure permissions on /etc/group- are configured,Fail
7.1.5,Ensure permissions on /etc/shadow are configured,Fail
7.2.1 ,Ensure accounts in /etc/passwd use shadowed passwords,Fail
7.1.6 ,Ensure permissions on /etc/shadow- are configured,Fail
7.2.2 ,Ensure /etc/shadow password fields are not empty,Fail
7.1.7 ,Ensure permissions on /etc/gshadow are configured,Fail
7.1.8 ,Ensure permissions on /etc/gshadow- are configured,Fail
7.2.3,Ensure all groups in /etc/passwd exist in /etc/group,Fail
7.1.9 ,Ensure permissions on /etc/shells are configured,Fail
7.1.10,Ensure permissions on /etc/security/opasswd are configured,Fail
7.1.11 ,Ensure world writable files and directories are secured,Fail
7.1.12 ,Ensure no files or directories without an owner and a group exist,Fail
7.1.13 ,Ensure SUID and SGID files are reviewed,Fail
7.2.4 ,Ensure shadow group is empty,Fail
7.2.5 ,Ensure no duplicate UIDs exist,Fail
7.2.6,Ensure no duplicate GIDs exist,Fail
7.2.7,Ensure no duplicate user names exist,Fail
7.2.8 ,Ensure no duplicate group names exist,Fail
7.2.9 ,Ensure local interactive user home directories are configured,Fail
7.2.10,Ensure local interactive user dot files access is configured,Fail
5.3.1.1,Ensure latest version of pam is installed,Fail
5.3.1.2,Ensure libpam-modules is installed,Fail
5.3.2.1,Ensure pam_unix module is enabled,Fail
5.3.2.2,Ensure pam_faillock module is enabled,Fail
5.3.2.3,Ensure pam_pwquality module is enabled,Fail
5.3.2.4,Ensure pam_pwhistory module is enabled,Fail
5.3.3.1.1,Ensure password failed attempts lockout is configured,Fail
5.3.3.1.2,Ensure password unlock time is configured,Fail
5.3.3.1.3,Ensure password failed attempts lockout includes root account,Fail
5.3.3.2.1,Ensure password number of changed characters is configured,Fail
5.3.3.2.2,Ensure minimum password length is configured,Fail
5.3.3.2.3,Ensure password complexity is configured,Fail
5.3.3.2.4,Ensure password same consecutive characters is configured,Fail
5.3.3.2.5,Ensure password maximum sequential characters is configured,Fail
5.3.3.2.6,Ensure password dictionary check is enabled,Fail
5.3.3.2.7,Ensure password quality checking is enforced,Fail
5.3.3.2.8,Ensure password quality is enforced for the root user,Fail
5.3.3.3.1,Ensure password history remember is configured,Fail
5.3.3.3.2,Ensure password history is enforced for the root user,Fail
5.3.3.3.3,Ensure pam_pwhistory includes use_authtok,Fail
5.3.3.4.1,Ensure pam_unix does not include nullok,Fail
5.3.3.4.2,Ensure pam_unix does not include remember,Fail
5.3.3.4.3,Ensure pam_unix includes a strong password hashing algorithm,Fail
5.3.3.4.4,Ensure pam_unix includes use_authtok,Fail
6.3.1.1,Ensure auditd packages are installed,Fail
6.3.4.10,Ensure audit tools group owner is configured,Fail
6.3.1.2,Ensure auditd service is enabled and active,Fail
6.3.4.9,Ensure audit tools owner is configured,Fail
6.3.1.3, Ensure auditing for processes that start prior to auditd is enabled,Fail
6.3.4.8,Ensure audit tools mode is configured,Fail
6.3.4.7,Ensure audit configuration files group owner is configured,Fail
6.3.1.4,Ensure audit_backlog_limit is sufficient,Fail
6.3.4.6,Ensure audit configuration files owner is configured,Fail
6.3.4.5,Ensure audit configuration files mode is configured,Fail
6.3.4.4,Ensure the audit log file directory mode is configured,Fail
1.3.1.4,Ensure all AppArmor Profiles are enforcing,Fail
6.3.4.3,Ensure audit log files group owner is configured,Fail
1.7.6,Ensure GDM automatic mounting of removable media is disabled,Fail
6.3.4.2,Ensure audit log files owner is configured,Fail
6.3.4.1,Ensure audit log files mode is configured,Fail
1.7.7,Ensure GDM disabling automatic mounting of removable media is not overridden,Fail
6.3.3.21,Ensure the running and on disk configuration is the same,Fail
6.3.3.20,Ensure the audit configuration is immutable,Fail
5.2.4,Ensure users must provide password for privilege escalation,Fail
6.3.3.19,Ensure kernel module loading unloading and modification is collected,Fail
6.3.3.18,Ensure successful and unsuccessful attempts to use the usermod command are recorded,Fail
5.3.3.1.3,Ensure password failed attempts lockout includes root account,Fail
6.3.3.17,Ensure successful and unsuccessful attempts to use the chacl command are recorded,Fail
6.3.3.16,Ensure successful and unsuccessful attempts to use the setfacl command are recorded,Fail
6.3.3.15,Ensure successful and unsuccessful attempts to use the chcon command are recorded,Fail
5.4.1.2,Ensure minimum password age is configured,Fail
6.3.3.14,Ensure events that modify the system's Mandatory Access Controls are collected,Fail
6.3.3.13,Ensure file deletion events by users are collected,Fail
5.4.3.1,Ensure nologin is not listed in /etc/shells,Fail
6.3.3.12,Ensure login and logout events are collected,Fail
6.1.3,Ensure cryptographic mechanisms are used to protect the integrity of audit tools,Fail
6.3.2.1, Ensure audit log storage size is configured,Fail
6.3.2.2,Ensure audit logs are not automatically deleted,Fail
6.3.2.3,Ensure system is disabled when audit logs are full,Fail
6.3.2.4,Ensure system warns when audit logs are low on space,Fail
6.3.3.1,Ensure changes to system administration scope (sudoers) is collected,Fail
6.3.3.2,Ensure actions as another user are always logged,Fail
6.3.3.3,Ensure events that modify the sudo log file are collected,Fail
4.1.1.1,Ensure auditd is installed,Fail
6.3.3.4,Ensure events that modify date and time information are collected,Fail
6.3.3.5,Ensure events that modify the system's network environment are collected,Fail
6.3.3.6,Ensure use of privileged commands are collected,Fail
6.3.3.7,Ensure unsuccessful file access attempts are collected,Fail
6.3.3.8,Ensure events that modify user/group information are collected,Fail
6.3.3.9,Ensure discretionary access control permission modification events are collected,Fail
6.3.3.10,Ensure successful file system mounts are collected,Fail
6.3.3.11,Ensure session initiation information is collected,Fail
